Key,SymbolName,EnkaID,filename,ascensionMaterial,en,chs,cht,jp,kr,fr,it,ru,de,vi
$asset.weapon:DullBlade,DullBlade,11101,UI_EquipIcon_Sword_Blunt,weaponDecarabian,Dull Blade,无锋剑,無鋒劍,無鋒の剣,무인검,Épée émoussée,Lama smussata,Тупой меч,Stumpfes Schwert,Vô Phong Kiếm
$asset.weapon:SilverSword,SilverSword,11201,UI_EquipIcon_Sword_Silver,weaponDecarabian,Silver Sword,银剑,銀劍,銀の剣,실버 소드,Épée en argent,Spada d'argento,Серебряный меч,Silberschwert,Kiếm Bạc
$asset.weapon:CoolSteel,CoolSteel,11301,UI_EquipIcon_Sword_Steel,weaponDecarabian,Cool Steel,冷刃,冷刃,冷刃,차가운 칼날,Lame froide,Lama fredda,Холодное лезвие,Kühle Klinge,Lãnh Nhẫn
$asset.weapon:HarbingerOfDawn,HarbingerOfDawn,11302,UI_EquipIcon_Sword_Dawn,weaponBorealWolf,Harbinger of Dawn,黎明神剑,黎明神劍,黎明の神剣,여명신검,Messager de l'Aube,Messaggera dell'alba,Предвестник зари,Schwert der Dämmerung,Thần Kiếm Lê Minh
$asset.weapon:TravelersHandySword,TravelersHandySword,11303,UI_EquipIcon_Sword_Traveler,weaponGladiator,Traveler's Handy Sword,旅行剑,旅行劍,旅道の剣,여행자의 검,Épée du voyageur,Spada del viaggiatore,Меч путешественника,Reiseschwert,Kiếm Lữ Hành
$asset.weapon:DarkIronSword,DarkIronSword,11304,UI_EquipIcon_Sword_Darker,weaponGuyun,Dark Iron Sword,暗铁剑,暗鐵劍,暗鉄剣,암철검,Épée en fer noir,Spada di ferro scuro,Тёмный железный меч,Dunkles Eisenschwert,Kiếm Sắt Đen
$asset.weapon:FilletBlade,FilletBlade,11305,UI_EquipIcon_Sword_Sashimi,weaponElixir,Fillet Blade,吃虎鱼刀,吃虎魚刀,チ虎魚の刀,흘호 생선회칼,Couteau à filets,Lama affilata,Филейный нож,Filetiermesser,Đao Săn Cá
$asset.weapon:SkyriderSword,SkyriderSword,11306,UI_EquipIcon_Sword_Mitsurugi,weaponAerosiderite,Skyrider Sword,飞天御剑,飛天御劍,飛天御剣,비천어검,Épée céleste,Spada del Cavalcacieli,Меч небесного всадника,Himmelsflug-Schwert,Kiếm Phi Thiên
$asset.weapon:FavoniusSword,FavoniusSword,11401,UI_EquipIcon_Sword_Zephyrus,weaponDecarabian,Favonius Sword,西风剑,西風劍,西風剣,페보니우스 검,Épée de Favonius,Spada di Favonius,Меч Фавония,Favonius-Schwert,Tây Phong Kiếm
$asset.weapon:TheFlute,TheFlute,11402,UI_EquipIcon_Sword_Troupe,weaponBorealWolf,The Flute,笛剑,笛劍,笛の剣,피리검,Flûte,Flauto,Меч-флейта,Flöte,Kiếm Sáo
$asset.weapon:SacrificialSword,SacrificialSword,11403,UI_EquipIcon_Sword_Fossil,weaponGladiator,Sacrificial Sword,祭礼剑,祭禮劍,祭礼の剣,제례검,Épée rituelle,Spada sacrificale,Церемониальный меч,Opferschwert,Kiếm Tế Lễ
