SymbolName,Key,Week,en,chs,cht,jp,kr,fr,it,ru,de,vi
talentFreedom,$asset.dailyMaterial:talentFreedom,MR,Freedom,「自由」,「自由」,「自由」,「자유」,Liberté,Libertà,Книги О Свободе,Freiheit,Tự Do
talentResistance,$asset.dailyMaterial:talentResistance,TF,Resistance,「抗争」,「抗爭」,「抗争」,「투쟁」,Résistance,Resistenza,Книги О Борьбе,Widerstands,Kháng Chiến
talentBallad,$asset.dailyMaterial:talentBallad,WS,Ballad,「诗文」,「詩文」,「詩文」,「시문」,Poésie,Poesia,Книги О Поэзии,Poesie,Thơ Văn
talentProsperity,$asset.dailyMaterial:talentProsperity,MR,Prosperity,「繁荣」,「繁榮」,「繁栄」,「번영」,Prospérité,Prosperità,Книги О Процветании,Wohlstands,Phồn Vinh
talentDiligence,$asset.dailyMaterial:talentDiligence,TF,Diligence,「勤劳」,「勤勞」,「勤労」,「근면」,Diligence,Diligenza,Книги Об Усердии,Fleißes,Chăm Chỉ
talentGold,$asset.dailyMaterial:talentGold,WS,Gold,「黄金」,「黃金」,「黄金」,「황금」,Or,Oro,Книги О Золоте,Golds,Hoàng Kim
talentTransience,$asset.dailyMaterial:talentTransience,MR,Transience,「浮世」,「浮世」,「浮世」,「부세」,Ephémère,Fugacità,Книги О Бренности,Vergänglichkeit,Phù Thế
talentElegance,$asset.dailyMaterial:talentElegance,TF,Elegance,「风雅」,「風雅」,「風雅」,「풍아」,Elégance,Eleganza,Книги Об Изяществе,Eleganz,Nhã Nhặn
talentLight,$asset.dailyMaterial:talentLight,WS,Light,「天光」,「天光」,「天光」,「천광」,Lumière,Luce,Книги О Свете,Lichts,Ánh Sáng
talentAdmonition,$asset.dailyMaterial:talentAdmonition,MR,Admonition,「诤言」,「諍言」,「忠言」,「간언」,Admonaistration,Ammonimento,Книги О Наставлениях,Ermahnung,Khuyên Nhủ
talentIngenuity,$asset.dailyMaterial:talentIngenuity,TF,Ingenuity,「巧思」,「巧思」,「創意」,「창의」,Ingénuité,Ingegno,Книги Об Остроумии,Findigkeit,Tinh Tế
talentPraxis,$asset.dailyMaterial:talentPraxis,WS,Praxis,「笃行」,「篤行」,「篤行」,「실천」,Usage,Pragmatica,Книги О Честности,Praxis,Thực Hành
talentEquity,$asset.dailyMaterial:talentEquity,MR,Equity,「公平」,「公平」,「公平」,「공평」,L'equité,Filosofie Di Equità,Беспристрастии,Fairness,Công Bằng
talentJustice,$asset.dailyMaterial:talentJustice,TF,Justice,「正义」,「正義」,「正義」,「정의」,La Justice,Giustizia,Справедливости,Gerechtigkeit,Chính Nghĩa
talentOrder,$asset.dailyMaterial:talentOrder,WS,Order,「秩序」,「秩序」,「秩序」,「질서」,L'ordre,Ordine,Порядке,Ordnung,Trật Tự
weaponDecarabian,$asset.dailyMaterial:weaponDecarabian,MR,Decarabian,「高塔孤王」,「高塔孤王」,「高塔の王」,고탑 왕의 깨진 꿈,Décabarian,Decarabian,Декабриан,Decarabians,Xác Tàu Tháp Cô Vương
