Key,filename & rawValue,enkaId,sortId,en,chs,cht,jp,kr,fr,it,ru,de,vi
$asset.nameCard:UI_NameCardPic_0_P,UI_NameCardPic_0_P,210001,1,Genshin Impact: A New World,原神·印象,原神·印象,原神·印象,원신·인상,Genshin Impact - Un monde nouveau,Genshin Impact: Un mondo nuovo,Новый мир,Genshin Impact – Eindrücke,Nguyên Thần - Ấn Tượng
$asset.nameCard:UI_NameCardPic_Bp1_P,UI_NameCardPic_Bp1_P,210002,2,Travel Notes: Catch the Wind,纪行·捕风,紀行·補風,紀行·風捕り,기행·바람을 잡다,PB - Attrape-vent,Appunti di viaggio: Catturavento,Ловец ветра,Erlebnispass – Windfänger,Nhật Ký Hành Trình Của Gió
$asset.nameCard:UI_NameCardPic_Ambor_P,UI_NameCardPic_Ambor_P,210003,3,Amber: Bunny,安柏·兔兔,安柏·兔兔,アンバー·ウサギ,엠버·토끼,Amber - Baron Lapinou,Amber: Baron Coniglio,Барон Зайчик,Amber – Hoppel,Amber - Con Thỏ
$asset.nameCard:UI_NameCardPic_Klee_P,UI_NameCardPic_Klee_P,210004,4,Klee: Explosive,可莉·爆弹,可莉·爆彈,クレー·爆弾,클레·폭탄,Klee - Chaud devant !,Klee: Bomba,Бомбочка,Klee – Bombe,Klee - Thuốc Nổ
$asset.nameCard:UI_NameCardPic_Diluc_P,UI_NameCardPic_Diluc_P,210005,5,Diluc: Flames,迪卢克·燃烧,迪盧克·燃燒,ディルック·燃焼,다이루크·연소,Diluc - Flambée mortelle,Diluc: Fiamme infernali,Огненная птица,Diluc – Flammen,Diluc - Thiêu Đốt
$asset.nameCard:UI_NameCardPic_Razor_P,UI_NameCardPic_Razor_P,210006,6,Razor: Wolvensprint,雷泽·奔狼,雷澤·奔狼,レザー·奔狼,레이저·울프,Razor - Affaire de loups,Razor: Lupo scattante,Дух волка,Razor – Laufender Wolf,Razor - Sói Chạy
$asset.nameCard:UI_NameCardPic_Venti_P,UI_NameCardPic_Venti_P,210007,7,Venti: Azure Sky,温迪·天青,溫迪·天青,ウェンティ·青空,벤티·맑은 하늘,Venti - Ciel d'azur,Venti: Cielo azzurro,Небесная лира,Venti – Blauer Himmel,Venti - Bầu Trời Xanh
$asset.nameCard:UI_NameCardPic_Qin_P,UI_NameCardPic_Qin_P,210008,8,Jean: The Winds' Course,琴·风向,琴·風向,ジン·風向き,진·풍향,Jean - Course du vent,Jean: Corso del vento,Одуванчики,Jean – Windrichtung,Jean - Hướng Gió
$asset.nameCard:UI_NameCardPic_Barbara_P,UI_NameCardPic_Barbara_P,210009,9,Barbara: Flow,芭芭拉·流淌,芭芭拉·流淌,バーバラ·流れ,바바라·흐름,Barbara - Thérapeutique,Barbara: Flusso,Мелодия,Barbara – Fließendes Wasser,Barbara - Dòng Chảy
$asset.nameCard:UI_NameCardPic_Kaeya_P,UI_NameCardPic_Kaeya_P,210010,10,Kaeya: Pavo Ocellus,凯亚·孔雀,凱亞·孔雀,ガイア·孔雀,케이아·공작,Kaeya - Pavo Ocellus,Kaeya: Pavo Ocellus,Павлин,Kaeya – Pfau,Kaeya - Khổng Tước
$asset.nameCard:UI_NameCardPic_Lisa_P,UI_NameCardPic_Lisa_P,210011,11,Lisa: Tempus Fugit,丽莎·沙漏,麗莎·沙漏,リサ·砂時計,리사·모래시계,Lisa - Tempus Fugit,Lisa: Tempus Fugit,Пески времени,Lisa – Sanduhr,Lisa - Đồng Hồ Cát
$asset.nameCard:UI_NameCardPic_Sucrose_P,UI_NameCardPic_Sucrose_P,210012,12,Sucrose: Bio-Alchemy,砂糖·创生,砂糖·創生,スクロース·創生,설탕·창생,Sucrose - Bio-alchimie,Sucrose: Bioalchimia,Воздушный дух,Saccharose – Schaffung von Leben,Sucrose - Sáng Tạo
$asset.nameCard:UI_NameCardPic_Fischl_P,UI_NameCardPic_Fischl_P,210013,13,Fischl: Night Raven,菲谢尔·夜鸦,菲謝爾·夜鴉,フィッシュル·夜鴉,피슬·까마귀,Fischl - Corbeau de la nuit,Fischl: Corvo della notte,Вестник ночи,Fischl – Nachtrabe,Fischl - Quạ Bóng Đêm
$asset.nameCard:UI_NameCardPic_Noel_P,UI_NameCardPic_Noel_P,210014,14,Noelle: Protector,诺艾尔·守护,諾艾爾·守護,ノエル·守護,노엘·수호,Noëlle - Protection,Noelle: Protezione,Щит,Noelle – Beschützer,Noelle - Bảo Vệ
$asset.nameCard:UI_NameCardPic_Mona_P,UI_NameCardPic_Mona_P,210015,15,Mona: Starry Sky,莫娜·天星,莫娜·天星,モナ·天星,모나·천성,Mona - Astromancie,Mona: Cielo stellato,Звёздная гладь,Mona – Einstürzender Himmel,Mona - Thiên Tinh
$asset.nameCard:UI_NameCardPic_Bennett_P,UI_NameCardPic_Bennett_P,210016,16,Bennett: Recognition,班尼特·认可,班尼特·認可,ベネット·認可,베넷·인정,Bennett - Gratitude,Bennett: Gratitudine,Одобрение,Bennett – Anerkennung,Bennett - Chấp Nhận
$asset.nameCard:UI_NameCardPic_Xiangling_P,UI_NameCardPic_Xiangling_P,210017,17,Xiangling: Fresh from the Pan,香菱·出锅,香菱·出鍋,香菱·出来上がり,향릉·완성,Xiangling - Gooba,Xiangling: È pronto!,Горячий Гоба,Xiangling – Frisch aus dem Topf,Xiangling - Nấu Xong
$asset.nameCard:UI_NameCardPic_Xingqiu_P,UI_NameCardPic_Xingqiu_P,210018,18,Xingqiu: Rainbow,行秋·雨虹,行秋·雨虹,行秋·雨虹,행추·무지개 비,Xingqiu - Bruine,Xingqiu: Arcobaleno,Мечи дождя,Xingqiu – Regenbogen,Xingqiu - Cầu Vồng
$asset.nameCard:UI_NameCardPic_Qiqi_P,UI_NameCardPic_Qiqi_P,210019,19,Qiqi: Cold Storage,七七·冷藏,七七·冷藏,七七·冷蔵,치치·냉장,Qiqi - Conservation,Qiqi: Refrigerazione,Вестник стужи,Qiqi – Kühlung,Qiqi - Đông Lạnh
$asset.nameCard:UI_NameCardPic_Keqing_P,UI_NameCardPic_Keqing_P,210020,20,Keqing: Lightning Stiletto,刻晴·雷楔,刻晴·雷楔,刻晴·雷楔,각청·번개못,Keqing - Lame de foudre,Keqing: Stiletto saettante,Громовой стилет,Keqing – Donnerkeil,Keqing - Đá Lôi
$asset.nameCard:UI_NameCardPic_Csxy1_P,UI_NameCardPic_Csxy1_P,210021,21,Achievement: Explorer,成就·游遍,成就·遊遍,アチーブメント·遍遊,업적·편유,Succès - Pérégrinations,Obiettivo: Esplorazione,Исследователь,Errungenschaft – Entdeckung,Thành tựu - Đi khắp nơi
$asset.nameCard:UI_NameCardPic_Mxsy_P,UI_NameCardPic_Mxsy_P,210022,22,Achievement: Virtuoso,成就·殊技,成就·殊技,アチーブメント·特技,업적·특기,Succès - Virtuose,Obiettivo: Virtuosismo,Профессионал,Errungenschaft – Eigenart,Thành Tựu - Đặc Kỹ
$asset.nameCard:UI_NameCardPic_Yxzl_P,UI_NameCardPic_Yxzl_P,210023,23,Achievement: Hero,成就·侠行,成就·俠行,アチーブメント·侠行,업적·협행,Succès - Héroïque périple,Obiettivo: Eroismo,Герой,Errungenschaft – Heldentum,Thành tựu - Hành hiệp
$asset.nameCard:UI_NameCardPic_Md_P,UI_NameCardPic_Md_P,210024,24,Mondstadt: Whistling Wind,蒙德·风吟,蒙德·風吟,モンド·風吟,몬드·바람의 속삭임,Mondstadt - Chant du vent,Mondstadt: Vento mormorante,Песнь ветра,Mondstadt – Rauschen des Windes,Mondstadt - Tiếng gió
$asset.nameCard:UI_NameCardPic_Ly_P,UI_NameCardPic_Ly_P,210025,25,Liyue: Stillness of Stone,璃月·岩寂,璃月·岩寂,璃月·岩寂,리월·적막한 바위,Liyue - Paix de la roche,Liyue: Quiete di roccia,Каменный покой,Liyue – Stille der Steine,Liyue - Sự cô đơn của đá
$asset.nameCard:UI_NameCardPic_Yszj_P,UI_NameCardPic_Yszj_P,210026,26,Achievement: Colors of the Rainbow,成就·虹色,成就·虹色,アチーブメント·虹色,업적·무지개색,Succès - Prisme,Obiettivo: Colori dell'arcobaleno,Цвета радуги,Errungenschaft – Bunte Farben,Thành tựu - Màu sắc cầu vồng
$asset.nameCard:UI_NameCardPic_Sss_P,UI_NameCardPic_Sss_P,210027,27,Achievement: Bowmaster,成就·强弓,成就·強弓,アチーブメント·強弓,업적·강궁,Succès - Archerie,Obiettivo: Maestria dell'arco,Мастер лучник,Errungenschaft – Spannkraft,Thành tựu - Cung tên
$asset.nameCard:UI_NameCardPic_Tzz1_P,UI_NameCardPic_Tzz1_P,210028,28,Achievement: Challenger,成就·挑战,成就·挑戰,アチーブメント·挑戦,업적·도전,Succès - Défi,Obiettivo: Competitività,Испытания,Errungenschaft – Herausforderung,Thành tựu - Khiêu chiến
$asset.nameCard:UI_NameCardPic_Sj1_P,UI_NameCardPic_Sj1_P,210029,29,Achievement: Deep &amp; Dark,成就·深秘,成就·深秘,アチーブメント·深秘,업적·깊은 비밀,Succès - Secrets profonds,Obiettivo: Segreti profondi,Глубины бездны,Errungenschaft – Voller Rätsel,Thành tựu - Thần Bí
$asset.nameCard:UI_NameCardPic_Olah1_P,UI_NameCardPic_Olah1_P,210030,30,Achievement: Hill Dwellers,成就·山民,成就·山民,アチーブメント·山民,업적·산 부족,Succès - Brutaux des collines,Obiettivo: Abitanti delle colline,Горный житель,Errungenschaft – Bergbewohner,Thành tựu - Sơn dân
